Slice,Count,Total Area,Average Size,%Area,Mean
446,7,47242,6748.857,7.382,255
447,9,49428,5492.000,7.723,255
448,7,47722,6817.429,7.457,255
449,6,47052,7842.000,7.352,255
450,7,47049,6721.286,7.351,255
451,8,47835,5979.375,7.474,255
452,7,47138,6734.000,7.365,255
453,6,46463,7743.833,7.260,255
454,5,48330,9666.000,7.552,255
455,7,47568,6795.429,7.433,255
456,10,47433,4743.300,7.411,255
457,6,46969,7828.167,7.339,255
458,9,48046,5338.444,7.507,255
459,7,47152,6736.000,7.367,255
460,7,47324,6760.571,7.394,255
461,6,47428,7904.667,7.411,255
462,6,46523,7753.833,7.269,255
463,6,47754,7959.000,7.462,255
464,4,45776,11444.000,7.152,255
465,7,47013,6716.143,7.346,255
466,8,47680,5960.000,7.450,255
467,10,46725,4672.500,7.301,255
468,11,48354,4395.818,7.555,255
469,8,49047,6130.875,7.664,255
470,9,48445,5382.778,7.570,255
471,6,48197,8032.833,7.531,255
472,5,48582,9716.400,7.591,255
473,8,48840,6105.000,7.631,255
474,8,46914,5864.250,7.330,255
475,10,47956,4795.600,7.493,255
476,9,50374,5597.111,7.871,255
477,7,49871,7124.429,7.792,255
478,8,48849,6106.125,7.633,255
479,12,50011,4167.583,7.814,255
480,12,49259,4104.917,7.697,255
481,7,49069,7009.857,7.667,255
482,9,49147,5460.778,7.679,255
483,10,52862,5286.200,8.260,255
484,8,48952,6119.000,7.649,255
485,10,49554,4955.400,7.743,255
486,6,48737,8122.833,7.615,255
487,10,49244,4924.400,7.694,255
488,9,47706,5300.667,7.454,255
489,6,48285,8047.500,7.545,255
490,7,49148,7021.143,7.679,255
491,9,49141,5460.111,7.678,255
492,10,50342,5034.200,7.866,255
493,12,49829,4152.417,7.786,255
494,10,49678,4967.800,7.762,255
495,7,48782,6968.857,7.622,255
496,9,50546,5616.222,7.898,255
497,12,50815,4234.583,7.940,255
498,10,49013,4901.300,7.658,255
499,11,50451,4586.455,7.883,255
500,10,49936,4993.600,7.803,255
501,9,49839,5537.667,7.787,255
502,8,49707,6213.375,7.767,255
503,9,51727,5747.444,8.082,255
504,8,51375,6421.875,8.027,255
505,9,50268,5585.333,7.854,255
506,8,48559,6069.875,7.587,255
507,9,48587,5398.556,7.592,255
508,7,47268,6752.571,7.386,255
509,7,48105,6872.143,7.516,255
510,7,49476,7068.000,7.731,255
511,9,48419,5379.889,7.565,255
512,8,47889,5986.125,7.483,255
513,6,46865,7810.833,7.323,255
514,7,46735,6676.429,7.302,255
515,7,47428,6775.429,7.411,255
516,8,48120,6015.000,7.519,255
517,9,48977,5441.889,7.653,255
518,8,47734,5966.750,7.458,255
519,6,47524,7920.667,7.426,255
520,8,48006,6000.750,7.501,255
521,10,47176,4717.600,7.371,255
522,9,48019,5335.444,7.503,255
523,6,46641,7773.500,7.288,255
524,9,47425,5269.444,7.410,255
525,10,47008,4700.800,7.345,255
526,9,46809,5201.000,7.314,255
527,8,46738,5842.250,7.303,255
528,10,47161,4716.100,7.369,255
529,8,47026,5878.250,7.348,255
530,6,47638,7939.667,7.443,255
531,9,48178,5353.111,7.528,255
532,7,46688,6669.714,7.295,255
533,6,47638,7939.667,7.443,255
534,13,47439,3649.154,7.412,255
535,6,46059,7676.500,7.197,255
536,8,46918,5864.750,7.331,255
537,8,46327,5790.875,7.239,255
538,9,46460,5162.222,7.259,255
539,6,46087,7681.167,7.201,255
540,8,46891,5861.375,7.327,255
541,7,46633,6661.857,7.286,255
542,10,46465,4646.500,7.260,255
543,9,46889,5209.889,7.326,255
544,10,48070,4807.000,7.511,255
545,9,47185,5242.778,7.373,255
546,8,47564,5945.500,7.432,255
547,13,46875,3605.769,7.324,255
548,6,46713,7785.500,7.299,255
549,8,47140,5892.500,7.366,255
550,6,46768,7794.667,7.308,255
551,6,45612,7602.000,7.127,255
552,6,46427,7737.833,7.254,255
553,6,46978,7829.667,7.340,255
554,8,46942,5867.750,7.335,255
555,7,48041,6863.000,7.506,255
556,7,47573,6796.143,7.433,255
557,9,46214,5134.889,7.221,255
558,7,47156,6736.571,7.368,255
559,7,46486,6640.857,7.263,255
560,11,47403,4309.364,7.407,255
561,8,46209,5776.125,7.220,255
562,7,46588,6655.429,7.279,255
563,6,46508,7751.333,7.267,255
564,7,47907,6843.857,7.485,255
565,6,47046,7841.000,7.351,255
566,7,46595,6656.429,7.280,255
567,6,45913,7652.167,7.174,255
568,9,47062,5229.111,7.353,255
569,12,48330,4027.500,7.552,255
570,6,47812,7968.667,7.471,255
571,8,45761,5720.125,7.150,255
572,7,46203,6600.429,7.219,255
573,12,47460,3955.000,7.416,255
574,7,45820,6545.714,7.159,255
575,9,46307,5145.222,7.235,255
576,6,45587,7597.833,7.123,255
577,8,45559,5694.875,7.119,255
578,10,45718,4571.800,7.143,255
579,11,45482,4134.727,7.107,255
580,10,46555,4655.500,7.274,255
581,10,44866,4486.600,7.010,255
582,10,45908,4590.800,7.173,255
583,12,47049,3920.750,7.351,255
584,9,45655,5072.778,7.134,255
585,13,45221,3478.538,7.066,255
586,7,44762,6394.571,6.994,255
587,11,44004,4000.364,6.876,255
588,11,44841,4076.455,7.006,255
589,8,44008,5501.000,6.876,255
590,9,44530,4947.778,6.958,255
591,10,43541,4354.100,6.803,255
592,7,43675,6239.286,6.824,255
593,8,43186,5398.250,6.748,255
594,10,44744,4474.400,6.991,255
595,10,45736,4573.600,7.146,255
596,10,44115,4411.500,6.893,255
597,12,45357,3779.750,7.087,255
598,13,47189,3629.923,7.373,255
599,9,46350,5150.000,7.242,255
600,9,45533,5059.222,7.115,255
601,11,46398,4218.000,7.250,255
602,11,44854,4077.636,7.008,255
603,10,44203,4420.300,6.907,255
604,8,43180,5397.500,6.747,255
605,12,44377,3698.083,6.934,255
606,8,43645,5455.625,6.820,255
607,10,44590,4459.000,6.967,255
608,8,44086,5510.750,6.888,255
609,11,44670,4060.909,6.980,255
610,10,43351,4335.100,6.774,255
611,10,43803,4380.300,6.844,255
612,10,46017,4601.700,7.190,255
613,6,45431,7571.833,7.099,255
614,11,44908,4082.545,7.017,255
615,8,44229,5528.625,6.911,255
616,11,45662,4151.091,7.135,255
617,11,46157,4196.091,7.212,255
618,10,46792,4679.200,7.311,255
619,10,45844,4584.400,7.163,255
620,8,46824,5853.000,7.316,255
621,9,44906,4989.556,7.017,255
622,12,45656,3804.667,7.134,255
623,13,46459,3573.769,7.259,255
624,7,46305,6615.000,7.235,255
625,7,44606,6372.286,6.970,255
626,9,44895,4988.333,7.015,255
627,13,45166,3474.308,7.057,255
628,10,45283,4528.300,7.075,255
629,10,44991,4499.100,7.030,255
630,9,44686,4965.111,6.982,255
631,9,44364,4929.333,6.932,255
632,9,45664,5073.778,7.135,255
633,8,44562,5570.250,6.963,255
634,10,47138,4713.800,7.365,255
635,9,46254,5139.333,7.227,255
636,10,45154,4515.400,7.055,255
637,8,46146,5768.250,7.210,255
638,9,45745,5082.778,7.148,255
639,8,46580,5822.500,7.278,255
640,10,46095,4609.500,7.202,255
641,12,45866,3822.167,7.167,255
642,9,46188,5132.000,7.217,255
643,9,45282,5031.333,7.075,255
644,10,46650,4665.000,7.289,255
645,7,46892,6698.857,7.327,255
646,12,45506,3792.167,7.110,255
647,13,46781,3598.538,7.310,255
648,11,45764,4160.364,7.151,255
649,12,45718,3809.833,7.143,255
650,10,46328,4632.800,7.239,255
651,9,46871,5207.889,7.324,255
652,10,46524,4652.400,7.269,255
653,8,45680,5710.000,7.138,255
654,10,46686,4668.600,7.295,255
655,9,46586,5176.222,7.279,255
656,10,45821,4582.100,7.160,255
657,7,47789,6827.000,7.467,255
658,7,46821,6688.714,7.316,255
659,7,46343,6620.429,7.241,255
660,5,45412,9082.400,7.096,255
661,10,46333,4633.300,7.240,255
662,8,46589,5823.625,7.280,255
663,9,45839,5093.222,7.162,255
664,9,45490,5054.444,7.108,255
665,9,45777,5086.333,7.153,255
666,9,47294,5254.889,7.390,255
667,9,45833,5092.556,7.161,255
668,10,45576,4557.600,7.121,255
669,13,46243,3557.154,7.225,255
670,8,46609,5826.125,7.283,255
671,9,46061,5117.889,7.197,255
672,9,44870,4985.556,7.011,255
673,10,45620,4562.000,7.128,255
674,8,46328,5791.000,7.239,255
675,10,46033,4603.300,7.193,255
676,11,45908,4173.455,7.173,255
677,14,46208,3300.571,7.220,255
678,11,45571,4142.818,7.120,255
679,10,44832,4483.200,7.005,255
680,11,47031,4275.545,7.349,255
681,11,46812,4255.636,7.314,255
682,14,47686,3406.143,7.451,255
683,11,46646,4240.545,7.288,255
684,17,47576,2798.588,7.434,255
685,10,45359,4535.900,7.087,255
686,12,44773,3731.083,6.996,255
687,13,45931,3533.154,7.177,255
688,13,47303,3638.692,7.391,255
689,13,46044,3541.846,7.194,255
690,8,42695,5336.875,6.671,255
691,10,44072,4407.200,6.886,255
692,8,45308,5663.500,7.079,255
693,12,46139,3844.917,7.209,255
694,14,45476,3248.286,7.106,255
695,11,44438,4039.818,6.943,255
696,10,45727,4572.700,7.145,255
697,11,44319,4029.000,6.925,255
698,10,45306,4530.600,7.079,255
699,10,44178,4417.800,6.903,255
700,10,44342,4434.200,6.928,255
701,11,44539,4049.000,6.959,255
702,10,45373,4537.300,7.090,255
703,12,44936,3744.667,7.021,255
704,10,44878,4487.800,7.012,255
705,11,45144,4104.000,7.054,255
706,8,44867,5608.375,7.010,255
707,11,44686,4062.364,6.982,255
708,8,46106,5763.250,7.204,255
709,7,46412,6630.286,7.252,255
710,11,47188,4289.818,7.373,255
711,9,44755,4972.778,6.993,255
712,11,45438,4130.727,7.100,255
713,10,46010,4601.000,7.189,255
714,10,46454,4645.400,7.258,255
715,9,44548,4949.778,6.961,255
716,11,45840,4167.273,7.162,255
717,9,46167,5129.667,7.214,255
718,10,46705,4670.500,7.298,255
719,13,48168,3705.231,7.526,255
720,11,48280,4389.091,7.544,255
721,10,49006,4900.600,7.657,255
722,12,47568,3964.000,7.433,255
723,9,46776,5197.333,7.309,255
724,12,45951,3829.250,7.180,255
725,11,46690,4244.545,7.295,255
726,10,46312,4631.200,7.236,255
727,10,46878,4687.800,7.325,255
728,10,47217,4721.700,7.378,255
729,15,47141,3142.733,7.366,255
730,15,46445,3096.333,7.257,255
731,13,45274,3482.615,7.074,255
732,12,45361,3780.083,7.088,255
733,9,45483,5053.667,7.107,255
734,10,45537,4553.700,7.115,255
735,12,45069,3755.750,7.042,255
736,11,45755,4159.545,7.149,255
737,10,47097,4709.700,7.359,255
738,10,45382,4538.200,7.091,255
739,11,47338,4303.455,7.397,255
740,10,46064,4606.400,7.197,255
741,7,46294,6613.429,7.233,255
742,13,46129,3548.385,7.208,255
743,8,46178,5772.250,7.215,255
744,11,48202,4382.000,7.532,255
745,12,48693,4057.750,7.608,255
746,10,47356,4735.600,7.399,255
747,10,47622,4762.200,7.441,255
748,14,47124,3366.000,7.363,255
749,11,47964,4360.364,7.494,255
750,10,47568,4756.800,7.433,255
751,11,47707,4337.000,7.454,255
752,9,46385,5153.889,7.248,255
753,10,44910,4491.000,7.017,255
754,10,45970,4597.000,7.183,255
755,12,47728,3977.333,7.457,255
756,11,47674,4334.000,7.449,255
757,12,48654,4054.500,7.602,255
758,8,45627,5703.375,7.129,255
759,9,47315,5257.222,7.393,255
760,9,47328,5258.667,7.395,255
761,10,46474,4647.400,7.262,255
762,10,45426,4542.600,7.098,255
763,11,47246,4295.091,7.382,255
764,9,45758,5084.222,7.150,255
765,11,45678,4152.545,7.137,255
766,9,46887,5209.667,7.326,255
767,10,46145,4614.500,7.210,255
768,9,46642,5182.444,7.288,255
769,10,47745,4774.500,7.460,255
770,8,46817,5852.125,7.315,255
